1,China,1992 Summer,A Dijiang,M
2,China,2012 Summer,A Lamusi,M
3,Denmark,1920 Summer,Gunnar Nielsen Aaby,M
4,Denmark/Sweden,1900 Summer,Edgar Lindenau Aabye,M
5,Netherlands,1988 Winter,Christine Jacoba Aaftink,F
5,Netherlands,1992 Winter,Christine Jacoba Aaftink,F
5,Netherlands,1994 Winter,Christine Jacoba Aaftink,F
6,United States,1992 Winter,Per Knut Aaland,M
6,United States,1994 Winter,Per Knut Aaland,M
7,United States,1992 Winter,John Aalberg,M
7,United States,1994 Winter,John Aalberg,M
8,Netherlands,1932 Summer,Cornelia Cor Aalten (-Strannood),F
9,Finland,2002 Winter,Antti Sami Aalto,M
10,Finland,1952 Summer,Einar Ferdinand Einari Aalto,M
11,Finland,1980 Winter,Jorma Ilmari Aalto,M
12,Finland,2000 Summer,Jyri Tapani Aalto,M
14,Finland,1994 Winter,Pirjo Hannele Aalto (Mattila-),F
15,Finland,1912 Summer,Arvo Ossian Aaltonen,M
15,Finland,1920 Summer,Arvo Ossian Aaltonen,M
15,Finland,1924 Summer,Arvo Ossian Aaltonen,M
16,Finland,2014 Winter,Juhamatti Tapio Aaltonen,M
17,Finland,1948 Summer,Paavo Johannes Aaltonen,M
17,Finland,1952 Summer,Paavo Johannes Aaltonen,M
18,Finland,2000 Summer,Timo Antero Aaltonen,M
19,Finland,1948 Summer,Win Valdemar Aaltonen,M
20,Norway,1992 Winter,Kjetil Andr Aamodt,M
20,Norway,1994 Winter,Kjetil Andr Aamodt,M
20,Norway,1998 Winter,Kjetil Andr Aamodt,M
20,Norway,2002 Winter,Kjetil Andr Aamodt,M
20,Norway,2006 Winter,Kjetil Andr Aamodt,M
21,Norway,2008 Summer,Ragnhild Margrethe Aamodt,F
22,Romania,2016 Summer,Andreea Aanei,F
23,Norway,2000 Summer,Fritz Aanes,M
23,Norway,2004 Summer,Fritz Aanes,M
24,Norway,1960 Winter,Nils Egil Aaness,M
24,Norway,1964 Winter,Nils Egil Aaness,M
25,Norway,1920 Summer,Alf Lied Aanning,M
26,Norway,1984 Winter,Agnes Erika Aanonsen (-Eyde),F
27,Netherlands,1984 Summer,Johan Aantjes,M
29,Netherlands,1988 Summer,Willemien Aardenburg,F
30,Netherlands,1996 Summer,Pepijn Aardewijn,M
30,Netherlands,2000 Summer,Pepijn Aardewijn,M
31,Estonia,1936 Summer,Evald rma (rman-),M
32,Norway,1912 Summer,Olav Augunson Aarnes,M
34,France,2012 Summer,Jamale (Djamel-) Aarrass (Ahrass-),M
35,Norway,1998 Winter,Dagfinn Sverre Aarskog,M
36,Netherlands,1996 Summer,Stefan Remco Aartsen,M
36,Netherlands,2000 Summer,Stefan Remco Aartsen,M
37,Norway,1996 Summer,Ann Kristin Aarnes,F
38,Norway,1920 Summer,Karl Jan Aas,M
39,Norway,1912 Summer,Lars Thorlaksn Aas,M
40,Norway,1952 Winter,Roald Edgar Aas,M
